worksheet_row,source_field_name,review_status,candidate_runtime_target,candidate_transform,property_name,decision,evidence_needed
33,NUMBER_OF_POLICIES_TOPIC_LEVEL,DEFERRED_OTHER_MODEL,,,,Component Definition aggregate is outside current Catalog Topic increment and target path is clipped.,Resolve when Component Definition is in scope.
34,LINKED_TO_POLICY_TOPIC_LEVEL,DEFERRED_OTHER_MODEL,,,,Policy link relationship is outside current Catalog Topic increment and target path/cardinality are clipped.,Resolve when Component Definition is in scope.
35,TOTAL_NUMBER_OF_SECTIONS_LINKED_TO_POLICY,DEFERRED_OTHER_MODEL,,,,Component Definition aggregate is outside current Catalog Topic increment and target path is clipped.,Resolve when Component Definition is in scope.
36,PERCENT_OF_SECTIONS_LINKED_TO_POLICY,DEFERRED_OTHER_MODEL,,,,Component Definition aggregate is outside current Catalog Topic increment and target path is clipped.,Resolve when Component Definition is in scope.
37,ENGAGEMENT_SCOPE_IN_CONTROL_TOPIC,DEFERRED_OTHER_MODEL,,,,Assessment Plan field is outside current Catalog Topic increment and target path is clipped.,Resolve with Assessment Plan activity grain later.
38,COMPLIANCE_ENGAGEMENTS_SCOPE_PROCEDURES_FROM_SELECTED_AUTH[CLIPPED],BLOCKED_SOURCE_TEXT,,,,Archer field name itself is clipped. Never promote a clipped source key to runtime.,Recover exact workbook field name.
39,QUESTION_LIBRARY,DEFERRED_OTHER_MODEL,,,,Assessment Plan questionnaire mapping is outside current Catalog Topic increment and target path/cardinality are clipped.,Resolve with Assessment Plan activity/questionnaire semantics later.
40,EVIDENCE_REPOSITORY,DEFERRED_OTHER_MODEL,,,,Assessment Results evidence mapping is outside current Catalog Topic increment and target path is clipped.,Inspect populated source shape and evidence identity later.
41,ATTACHMENTS,DEFERRED_SOURCE_SHAPE,,,,Workbook proposes Catalog Back Matter base64 but live attachment representation is unknown. Do not treat arbitrary attachment metadata as base64.,Inspect populated attachment shape first.
42,DEFAULT_RECORD_PERMISSIONS,REMAP_REQUIRED,,,,Workbook proposes Catalog metadata role but permissions are expected to be Archer security metadata rather than OSCAL role semantics. Do not map without live shape and a role/party semantic contract.,Inspect Topic live object shape; keep separate from OSCAL roles unless semantics are proved.
43,TOPIC_DATE_CREATED,REMAP_REQUIRED,catalog.groups[].props[],TBD,date-created,Workbook proposes a group property while also calling for DateTimeWithTimezoneDatatype. OSCAL prop values are strings; choose a preservation rule only after source timestamp shape is known.,Profile live timestamp shape and timezone presence.
44,TOPIC_LAST_UPDATED,REMAP_REQUIRED,catalog.groups[].props[],TBD,last-updated,Workbook proposes a group property while also calling for DateTimeWithTimezoneDatatype. OSCAL prop values are strings; choose a preservation rule only after source timestamp shape is known.,Profile live timestamp shape and timezone presence.
45,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_TOPIC_FIRST_PUBLISHED,REMAP_REQUIRED,,,,Topic record publication time must not automatically overwrite the already committed Catalog document metadata.published for the owning Source Catalog.,Verify source location and decide provenance versus document-level semantics.
46,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_TOPIC_LAST_UPDATED,REMAP_REQUIRED,,,,Topic record update time must not automatically overwrite the owning Catalog document metadata.last-modified.,Verify source location and decide provenance versus document-level semantics.
47,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_TOPIC_CONFIRMED_IN_ARCHE[CLIPPED],BLOCKED_SOURCE_TEXT,,,,Archer field name is clipped and cannot be used as a runtime key.,Recover exact workbook field name and source shape.
48,INSERT_DATE,EXCLUDE_SYSTEM_METADATA,,,,ETL/warehouse provenance field; keep outside OSCAL payload.,No runtime evidence required for exclusion.
49,UPDATE_DATE,EXCLUDE_SYSTEM_METADATA,,,,ETL/warehouse provenance field; keep outside OSCAL payload.,No runtime evidence required for exclusion.
50,CHECKSUM_VALUE,EXCLUDE_SYSTEM_METADATA,,,,Warehouse/data-integrity field; keep outside OSCAL payload unless a separate provenance design is approved.,No runtime evidence required for exclusion.
51,_OF_NONCOMPLIANT_CONTROLS,BLOCKED_SOURCE_TEXT,,,,Workbook identifies this as duplicate/truncated and the target path is clipped. Do not infer whether it means count or percentage.,Recover exact source field and meaning.
52,CONTROL_STANDARDS__FROM_SECTION_AND_SUBSECTION_LEVELS,DEFERRED_ALIAS_CHECK,,,,Extra-underscore field remains a distinct source row until live source evidence proves it is an alias/duplicate.,Check whether the exact key exists and whether its values differ from the single-underscore field.
53,POLICY_LEVEL_3__FROM_SECTION_AND_SUBSECTION_LEVELS,BLOCKED_SOURCE_TEXT,,,,Extra-underscore source row has a clipped Component Definition target path. Keep separate and deferred.,Recover exact target/source semantics later.
