worksheet_row,source_field_name,workbook_model,live_populated_rows,live_shape,final_status,runtime_or_review_target,decision
41,QUESTION_LIBRARY,Assessment Plan,0,NULL_VALUE,DEFER_UNPOPULATED,assessment-plan local activity question-library property,No runtime output in current snapshot.
42,EVIDENCE_REPOSITORY,Assessment Results,0,ABSENT_OR_NULL,DEFER_UNPOPULATED,assessment-results relevant-evidence link,No runtime output in current snapshot.
43,EFFECTIVE_DATE,Catalog - Metadata,6,"DATE, NULL_VALUE",IMPLEMENTED_COMMITTED,catalog.metadata.props[],Already committed as effective-date property using date transform.
44,OFFICIAL_RETIREMENT_DATE,Catalog - Metadata,0,NULL_VALUE,IMPLEMENTED_COMMITTED_EMPTY,catalog.metadata.props[],Approved runtime mapping exists as retirement-date; current snapshot emits no property because source is empty.
45,RTX_RETIREMENT_DATE,Catalog - Metadata,0,NULL_VALUE,IMPLEMENTED_COMMITTED_EMPTY,catalog.metadata.props[],Approved runtime mapping exists as rtx-retirement-date; current snapshot emits no property because source is empty.
46,DATE_CREATED,Catalog - Metadata,148,TIMESTAMP_NTZ,DEFER_PROVENANCE_SEMANTICS,catalog.metadata.published,Archer record creation time is populated but is not automatically proven to be OSCAL document publication time.
47,LAST_UPDATED,Catalog - Metadata,148,TIMESTAMP_NTZ,DEFER_PROVENANCE_SEMANTICS,catalog.metadata.last-modified,Archer record update time is populated but is not automatically proven to be OSCAL document last-modified semantics.
48,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SOURCE_FIRST_PUBLISHED,Catalog - Metadata,0,ABSENT_OR_NULL,DEFER_UNPOPULATED,catalog.metadata.published,Current source snapshot does not populate this workbook field.
49,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SOURCE_LAST_UPDATED,Catalog - Metadata,0,ABSENT_OR_NULL,DEFER_UNPOPULATED,catalog.metadata.last-modified,Current source snapshot does not populate this workbook field.
50,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SOURCE_CONFIRMED_IN_ARCHER,Catalog - Metadata,0,ABSENT_OR_NULL,DEFER_UNPOPULATED,catalog.metadata.props[],Current source snapshot does not populate this workbook field.
51,RECORD_STATUS,Catalog - Metadata,148,INTEGER,IMPLEMENTED_COMMITTED,catalog.metadata.props[],Already committed as record-status using the reviewed Archer lookup contract.
52,DEFAULT_RECORD_PERMISSIONS,Catalog - Metadata,144,"OBJECT, NULL_VALUE",EXCLUDE_FROM_OSCAL_ROLE,Archer GroupList/UserList security metadata,Live structure is permission/security metadata; do not reinterpret it as OSCAL metadata.role without a business role/party semantic contract.
53,CONTENT_SOURCE,Catalog - Metadata,141,"OBJECT, NULL_VALUE",IMPLEMENTED_COMMITTED,catalog.metadata.props[],Already committed as Archer-select property content-source; lookup coverage has zero unmatched IDs.
54,INSERT_DATE,N/A - System Metadata,0,ABSENT,EXCLUDE_SYSTEM_METADATA,,Confirmed absent from CURATED_JSON and outside OSCAL payload.
55,UPDATE_DATE,N/A - System Metadata,0,ABSENT,EXCLUDE_SYSTEM_METADATA,,Confirmed absent from CURATED_JSON and outside OSCAL payload.
56,CHECKSUM_VALUE,N/A - System Metadata,0,ABSENT,EXCLUDE_SYSTEM_METADATA,,Confirmed absent from CURATED_JSON and outside OSCAL payload.
57,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SOURCE_CONTENT_ID,Catalog - Metadata,0,ABSENT_OR_NULL,DEFER_IDENTITY_DUPLICATION,catalog.metadata.props[],Current prefixed field is unpopulated and RAW CONTENT_ID already supplies warehouse SOURCE_RECORD_ID; do not duplicate until explicitly required.
